"","baseMean","log2FoldChange","lfcSE","pvalue","padj","significance"
"plaa",1267.5838840425,-0.944978580500437,0.407215120526823,0.00234726660120112,0.0405631043081003,"Significant"
"lhx2a",1157.40786777321,-0.913687214686055,0.388806439811666,0.00235821524506124,0.0406622800960151,"Significant"
"si:ch211-135n15.3",2254.72310520023,-0.898195359274486,0.379501641058646,0.00235869482430023,0.0406622800960151,"Significant"
"rrm1",3450.90188499009,-0.735397734009117,0.292210958609391,0.00237594061700245,0.0408420165044726,"Significant"
"nsfl1c",4278.85921458961,-0.6434328463427,0.24598096691476,0.00238790496126109,0.0409643642035013,"Significant"
"supt3h",5017.23007575884,-0.872426935936121,0.373121268331904,0.00239585385926968,0.0410729375265603,"Significant"
"ENSDARG00000104767",129.006655902812,-2.09847536608099,1.27586668065813,0.00240306155945469,0.0410853849224367,"Significant"
"snrpd1",6692.60202352811,-0.817570817164861,0.336328316704592,0.00239973647788733,0.0410853849224367,"Significant"
"psmc5",9484.46487551071,-0.62239375819151,0.236754225324456,0.00240683265329315,0.0411221306767168,"Significant"
"syce2",15398.9409187379,-0.787165279974131,0.321344944213573,0.00241631736816468,0.0411455519609238,"Significant"
"stk33",1436.74541302954,-0.899411313236415,0.380653610543149,0.00243231754269013,0.0413902089227571,"Significant"
"e2f5",5255.90612740797,-0.780011987338751,0.317565973736836,0.0024462645732177,0.041525998303093,"Significant"
"chaf1b",1842.32381560754,-0.775269133822263,0.31467542849341,0.00246117239045348,0.041713252647024,"Significant"
"si:ch211-152c8.2",1516.54578968812,-1.03169267336436,0.463167054686945,0.00247094075384497,0.0418387005665851,"Significant"
"si:ch211-277c7.7",4695.0279229928,-0.761379335222568,0.307879376335635,0.00247744802401199,0.0418387005665851,"Significant"
"smn1",1909.94900527325,-0.760084845830891,0.307660550178195,0.0024923402069257,0.0420447677622097,"Significant"
"cops4",9937.68938644403,-0.636117334545631,0.241576735961066,0.00249573868435825,0.0420741052805209,"Significant"
"gja1b",4064.84420069261,-0.788419018528414,0.323272047892309,0.00253026878691981,0.042429511649142,"Significant"
"ndufs5",3085.21154348918,-0.707239057877429,0.280673168359388,0.0025282705341319,0.042429511649142,"Significant"
"smc1b",15955.7340037737,-0.740753262733746,0.297973323764292,0.0025342508381789,0.042429511649142,"Significant"
"cacna1ha",7471.83318170989,-0.927678480547562,0.401745984453381,0.00256323478515232,0.0427586588377488,"Significant"
"crppa",3693.20776062075,-0.772551371227164,0.316149600800488,0.00256332721093978,0.0427586588377488,"Significant"
