"","baseMean","log2FoldChange","lfcSE","pvalue","padj","significance"
"ftr90",610.29939169725,1.47617899041237,0.475688821879396,0.000140776152767598,0.00554184458823415,"Significant"
"plxna1b",310.504147670917,1.36399413369197,0.437761533416159,0.000140977706937923,0.00554184458823415,"Significant"
"cdh28",59.023061445564,5.17804594889941,1.86986699544664,0.000142366044771285,0.0055791206571498,"Significant"
"selenow2b",863.596224582642,2.1930776155006,0.746637704222216,0.000145236499665651,0.00565663817054161,"Significant"
"ENSDARG00000109240",192.395460682681,2.85629352745007,1.00149479937572,0.000146997365441058,0.00571643895821784,"Significant"
"ENSDARG00000116529",61.9163318139119,3.9753971016362,1.42587424347773,0.000148889161645424,0.00577230075461733,"Significant"
"ENSDARG00000113324",40.8164427501827,6.24589795635766,2.4118734622598,0.000152002130012586,0.00587502135132488,"Significant"
"krt1-19d",1814.22891687786,3.96821584919506,1.44841000554954,0.000152893898341138,0.00590049435683342,"Significant"
"ENSDARG00000112842",253.338174911225,2.54764990235304,0.886689670368359,0.000153319789223203,0.00590793807865398,"Significant"
"si:ch211-103n10.5",2127.11702322115,1.6000362468519,0.524904576949146,0.000154816287489891,0.00595655078802154,"Significant"
"lgals9l1",892.200788770571,1.46604893617407,0.479778059660726,0.000157842654868639,0.00605692171200564,"Significant"
"lpar5a",400.151861104057,1.52044199304604,0.49901706304982,0.000157902790441165,0.00605692171200564,"Significant"
"gpr35.1",313.651158603954,1.44395621393098,0.470967100469814,0.000158387246151421,0.00606632722986296,"Significant"
"btr30",149.675834125326,4.87512440579184,1.83227077771799,0.000159265103433555,0.00608355920965596,"Significant"
"pdia2",550.389480302091,1.15027361571741,0.363933323459194,0.00015977552516529,0.00609189239182846,"Significant"
"clec3bb",64.8206752480502,4.00672864060154,1.45725256838613,0.000161709743385383,0.00610879831205375,"Significant"
"dgkzb",782.560588122128,1.52462372891431,0.502931421448108,0.000161878285549891,0.00610879831205375,"Significant"
"parm1",945.945027212379,1.75673848644756,0.589906510309634,0.000161960192314093,0.00610879831205375,"Significant"
